circuitId,circuitRef,name,location,country,lat,lng,alt,length_km,is_night_race,track_type,url
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,5.278,False,balanced,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,5.543,False,balanced,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,7,5.412,True,balanced,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,109,4.657,False,balanced,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,istanbul,Istanbul Park,Istanbul,Turkey,40.9517,29.405,130,5.338,False,balanced,http://en.wikipedia.org/wiki/Istanbul_Park
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,7,3.337,False,technical,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,13,4.361,False,balanced,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
9,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,153,5.891,False,high_speed,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,hockenheimring,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,103,4.574,False,balanced,http://en.wikipedia.org/wiki/Hockenheimring
11,hungaroring,Hungaroring,Budapest,Hungary,47.5789,19.2486,264,4.381,False,technical,http://en.wikipedia.org/wiki/Hungaroring
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,401,7.004,False,high_speed,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,162,5.793,False,high_speed,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,18,4.927,True,technical,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
17,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,5,5.451,False,balanced,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997,785,4.309,False,technical,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
20,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,578,5.148,False,balanced,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,37,4.909,False,technical,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,45,5.807,False,technical,http://en.wikipedia.org/wiki/Suzuka_Circuit
80,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,642,6.201,True,high_speed,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,3,5.281,True,technical,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
32,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,2227,4.304,False,balanced,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
34,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,432,5.842,False,balanced,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,6,4.259,False,balanced,http://en.wikipedia.org/wiki/Circuit_Zandvoort
69,americas,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,5.513,False,balanced,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,4.326,False,high_speed,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,5.848,False,balanced,http://en.wikipedia.org/wiki/Sochi_Autodrom
73,baku,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,6.003,False,high_speed,http://en.wikipedia.org/wiki/Baku_City_Circuit
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,4.653,False,balanced,http://en.wikipedia.org/wiki/Algarve_International_Circuit
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,5.245,False,high_speed,http://en.wikipedia.org/wiki/Mugello_Circuit
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,6.174,True,high_speed,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
78,losail,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,12,5.419,True,balanced,http://en.wikipedia.org/wiki/Losail_International_Circuit
79,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,0,5.412,False,technical,http://en.wikipedia.org/wiki/Miami_International_Autodrome
