constructorResultsId,raceId,constructorId,points,status
16881,1120,6,18.0,\N
16880,1120,9,38.0,\N
15820,1007,9,25.0,\N
16883,1120,1,18.0,\N
16882,1120,131,17.0,\N
15821,1007,6,33.0,\N
15015,926,131,43.0,\N
15016,926,6,15.0,\N
15017,926,3,12.0,\N
15018,926,15,14.0,\N
15019,926,9,8.0,\N
15020,926,10,7.0,\N
15021,926,5,2.0,\N
15022,926,1,0.0,\N
15023,926,208,0.0,\N
15024,927,6,37.0,\N
15025,927,131,33.0,\N
15026,927,3,18.0,\N
15027,927,5,10.0,\N
15028,927,9,3.0,\N
15029,927,208,0.0,\N
15030,927,15,0.0,\N
15031,927,10,0.0,\N
15032,927,209,0.0,\N
15033,927,1,0.0,\N
15034,928,131,43.0,\N
15035,928,6,27.0,\N
15036,928,3,18.0,\N
15037,928,208,6.0,\N
15038,928,15,5.0,\N
15039,928,9,2.0,\N
15040,928,10,0.0,\N
15041,928,1,0.0,\N
15042,928,5,0.0,\N
15043,928,209,0.0,\N
15044,929,131,40.0,\N
15045,929,6,28.0,\N
15046,929,3,13.0,\N
15047,929,9,10.0,\N
15048,929,208,6.0,\N
15049,929,10,4.0,\N
15050,929,1,0.0,\N
15051,929,15,0.0,\N
15052,929,209,0.0,\N
15053,929,5,0.0,\N
15054,930,131,43.0,\N
15055,930,6,25.0,\N
15056,930,3,20.0,\N
15057,930,9,7.0,\N
15058,930,208,4.0,\N
15059,930,5,2.0,\N
15060,930,15,0.0,\N
15061,930,10,0.0,\N
15062,930,1,0.0,\N
15063,930,209,0.0,\N
15064,931,131,40.0,\N
15065,931,6,26.0,\N
15066,931,9,22.0,\N
15067,931,10,6.0,\N
15068,931,1,4.0,\N
15069,931,15,2.0,\N
15070,931,5,1.0,\N
15071,931,208,0.0,\N
15072,931,3,0.0,\N
15073,931,209,0.0,\N
15074,932,131,43.0,\N
15075,932,3,23.0,\N
15076,932,6,22.0,\N
15077,932,208,7.0,\N
15078,932,10,4.0,\N
15079,932,9,2.0,\N
15080,932,5,0.0,\N
15081,932,15,0.0,\N
15082,932,209,0.0,\N
15083,932,1,0.0,\N
15084,933,131,43.0,\N
15085,933,3,25.0,\N
15086,933,6,12.0,\N
15087,933,10,10.0,\N
15088,933,208,6.0,\N
15089,933,5,4.0,\N
15090,933,9,1.0,\N
15091,933,15,0.0,\N
15092,933,209,0.0,\N
15093,933,1,0.0,\N
15094,934,131,43.0,\N
15095,934,6,19.0,\N
15096,934,3,22.0,\N
15097,934,9,8.0,\N
15098,934,10,8.0,\N
15099,934,1,1.0,\N
