driverStandingsId,raceId,driverId,points,position,positionText,wins
68160,969,830,10.0,5,5,0
68159,969,8,12.0,4,4,0
68158,969,822,15.0,3,3,0
68157,969,1,18.0,2,2,0
68156,969,20,25.0,1,1,1
67203,933,3,159.0,2,2,3
67201,926,822,0.0,18,18,0
67199,926,826,0.0,16,16,0
67197,926,154,0.0,14,14,0
67195,926,8,0.0,12,12,0
67202,933,1,169.0,1,1,4
67200,926,825,0.0,17,17,0
67198,926,813,0.0,15,15,0
67196,926,830,0.0,13,13,0
67194,926,18,0.0,11,11,0
67193,926,815,1.0,10,10,0
67192,926,832,2.0,9,9,0
67191,926,828,4.0,8,8,0
67190,926,807,6.0,7,7,0
67189,926,817,8.0,6,6,0
67188,926,831,10.0,5,5,0
67187,926,13,12.0,4,4,0
67186,926,20,15.0,3,3,0
67185,926,3,18.0,2,2,0
67184,926,1,25.0,1,1,1
67058,927,1,43.0,1,1,1
67059,927,3,33.0,3,3,0
67060,927,20,40.0,2,2,1
67061,927,13,20.0,4,4,0
67062,927,831,10.0,6,6,0
67063,927,817,9.0,8,8,0
67064,927,807,6.0,9,9,0
67065,927,828,4.0,12,12,0
67066,927,832,6.0,11,11,0
67067,927,815,1.0,14,14,0
67068,927,18,0.0,16,16,0
67069,927,8,12.0,5,5,0
67070,927,830,6.0,10,10,0
67071,927,154,0.0,15,15,0
67072,927,813,0.0,18,18,0
67073,927,826,2.0,13,13,0
67074,927,825,0.0,19,19,0
67075,927,822,10.0,7,7,0
67076,927,833,0.0,17,17,0
67077,927,4,0.0,20,20,0
67078,927,829,0.0,21,21,0
67079,928,1,68.0,1,1,2
67080,928,3,51.0,3,3,0
67081,928,20,55.0,2,2,1
67082,928,13,30.0,4,4,0
67083,928,831,14.0,7,7,0
67084,928,817,11.0,8,8,0
67085,928,807,6.0,10,10,0
67086,928,828,5.0,13,13,0
67087,928,832,6.0,12,12,0
67088,928,815,1.0,15,15,0
67089,928,18,0.0,16,16,0
67090,928,8,24.0,5,5,0
67091,928,830,6.0,11,11,0
67092,928,154,6.0,9,9,0
67093,928,813,0.0,20,20,0
67094,928,826,2.0,14,14,0
67095,928,825,0.0,21,21,0
67096,928,822,18.0,6,6,0
67097,928,833,0.0,18,18,0
67098,928,4,0.0,17,17,0
67099,928,829,0.0,19,19,0
67100,929,1,93.0,1,1,3
67101,929,3,66.0,2,2,0
67102,929,20,65.0,3,3,1
67103,929,13,31.0,5,5,0
67104,929,831,14.0,8,8,0
67105,929,817,19.0,7,7,0
67106,929,807,6.0,10,10,0
67107,929,828,5.0,14,14,0
67108,929,832,6.0,12,12,0
67109,929,815,5.0,13,13,0
67110,929,18,0.0,17,17,0
67111,929,8,42.0,4,4,0
67112,929,830,6.0,11,11,0
67113,929,154,12.0,9,9,0
67114,929,813,0.0,20,20,0
67115,929,826,4.0,15,15,0
67116,929,825,0.0,21,21,0
67117,929,822,30.0,6,6,0
67118,929,833,0.0,18,18,0
67119,929,4,0.0,16,16,0
67120,929,829,0.0,19,19,0
67121,930,1,111.0,1,1,3
67122,930,3,91.0,2,2,1
67123,930,20,80.0,3,3,1
67124,930,13,39.0,6,6,0
67125,930,831,14.0,9,9,0
67126,930,817,25.0,7,7,0
67127,930,807,6.0,12,12,0
67128,930,828,5.0,14,14,0
67129,930,832,8.0,10,10,0
67130,930,815,5.0,13,13,0
67131,930,18,0.0,17,17,0
67132,930,8,52.0,4,4,0
67133,930,830,6.0,11,11,0
67134,930,154,16.0,8,8,0
67135,930,813,0.0,20,20,0
67136,930,826,5.0,15,15,0
67137,930,825,0.0,21,21,0
67138,930,822,42.0,5,5,0
67139,930,833,0.0,18,18,0
67140,930,4,0.0,16,16,0
67141,930,829,0.0,19,19,0
67142,931,1,126.0,1,1,3
67143,931,3,116.0,2,2,2
67144,931,20,98.0,3,3,1
67145,931,13,39.0,6,6,0
67146,931,831,16.0,9,9,0
67147,931,817,35.0,7,7,0
67148,931,807,6.0,13,13,0
67149,931,828,5.0,15,15,0
67150,931,832,9.0,12,12,0
67151,931,815,11.0,11,11,0
67152,931,18,4.0,16,16,0
67153,931,8,60.0,4,4,0
67154,931,830,6.0,14,14,0
67155,931,154,16.0,10,10,0
67156,931,813,0.0,20,20,0
67157,931,826,17.0,8,8,0
67158,931,825,0.0,21,21,0
67159,931,822,42.0,5,5,0
67160,931,833,0.0,18,18,0
67161,931,4,0.0,17,17,0
67162,931,829,0.0,19,19,0
67163,932,1,151.0,1,1,4
67164,932,3,134.0,2,2,2
67165,932,20,108.0,3,3,1
67166,932,13,47.0,6,6,0
67167,932,831,16.0,10,10,0
67168,932,817,35.0,7,7,0
67169,932,807,10.0,12,12,0
67170,932,828,5.0,16,16,0
67171,932,832,9.0,13,13,0
67172,932,815,11.0,11,11,0
67173,932,18,4.0,17,17,0
67174,932,8,72.0,4,4,0
67175,932,830,6.0,14,14,0
67176,932,154,17.0,9,9,0
67177,932,813,6.0,15,15,0
67178,932,826,19.0,8,8,0
67179,932,825,0.0,21,21,0
67180,932,822,57.0,5,5,0
67181,932,833,0.0,19,19,0
67182,932,4,0.0,18,18,0
67183,932,829,0.0,20,20,0
67204,933,20,120.0,3,3,1
67205,933,13,62.0,6,6,0
67206,933,831,16.0,11,11,0
67207,933,817,36.0,7,7,0
67208,933,807,18.0,9,9,0
67209,933,828,5.0,16,16,0
67210,933,832,9.0,15,15,0
67211,933,815,13.0,12,12,0
67212,933,18,4.0,17,17,0
67213,933,8,72.0,4,4,0
67214,933,830,10.0,14,14,0
67215,933,154,17.0,10,10,0
67216,933,813,12.0,13,13,0
67217,933,826,19.0,8,8,0
67218,933,825,0.0,21,21,0
67219,933,822,67.0,5,5,0
67220,933,833,0.0,19,19,0
67221,933,4,0.0,18,18,0
67222,933,829,0.0,20,20,0
67223,934,1,194.0,1,1,5
67224,934,3,177.0,2,2,3
67225,934,20,135.0,3,3,1
67226,934,13,74.0,6,6,0
67227,934,831,16.0,11,11,0
67228,934,817,36.0,7,7,0
67229,934,807,24.0,9,9,0
67230,934,828,5.0,16,16,0
67231,934,832,9.0,15,15,0
67232,934,815,15.0,12,12,0
67233,934,18,4.0,17,17,0
67234,934,8,76.0,5,5,0
67235,934,830,10.0,14,14,0
67236,934,154,17.0,10,10,0
67237,934,813,12.0,13,13,0
67238,934,826,27.0,8,8,0
67239,934,825,0.0,21,21,0
67240,934,822,77.0,4,4,0
67241,934,833,0.0,19,19,0
67242,934,4,1.0,18,18,0
67243,934,829,0.0,20,20,0
67244,936,1,202.0,1,1,5
67245,936,3,181.0,2,2,3
67246,936,20,160.0,3,3,2
67247,936,13,74.0,6,6,0
67248,936,831,16.0,12,12,0
67249,936,817,51.0,7,7,0
67250,936,807,24.0,9,9,0
67251,936,828,6.0,18,18,0
67252,936,832,9.0,16,16,0
67253,936,815,15.0,13,13,0
67254,936,18,6.0,17,17,0
67255,936,8,76.0,5,5,0
67256,936,830,22.0,11,11,0
67257,936,154,23.0,10,10,0
67258,936,813,12.0,14,14,0
67259,936,826,45.0,8,8,0
67260,936,825,0.0,21,21,0
67261,936,822,77.0,4,4,0
67262,936,833,0.0,19,19,0
67263,936,4,11.0,15,15,0
67264,936,829,0.0,20,20,0
67265,937,1,227.0,1,1,6
67266,937,3,199.0,2,2,3
67267,937,20,160.0,3,3,2
67268,937,13,82.0,5,5,0
67269,937,831,16.0,13,13,0
67270,937,817,51.0,8,8,0
